Municipio;Nombre;PrecioM2MedMunTipo;RentaMunicipio;RentaMedia;AumentoPoblacion
"""08245""";Santa Coloma de Gramenet;1906,0;23930,0;33958,0;1692,0
"""08260""";Santa Perpètua de Mogoda;1893,9;29270,0;33958,0;459,0
"""08263""";Sant Vicenç dels Horts;1977,0;27695,0;33958,0;133,0
"""08266""";Cerdanyola del Vallès;2284,5;34014,0;33958,0;-506,0
"""08270""";Sitges;3797,7;49289,0;33958,0;1690,0
"""08279""";Terrassa;1797,4;29232,0;33958,0;6583,0
"""08298""";Vic;1544,1;29965,0;33958,0;3355,0
"""08301""";Viladecans;2321,6;29029,0;33958,0;714,0
"""08305""";Vilafranca del Penedès;1472,9;29051,0;33958,0;437,0
"""08307""";Vilanova i la Geltrú;1905,4;30743,0;33958,0;1381,0
"""17023""";Blanes;1621,2;26121,0;28905,0;1461,0
"""17079""";Girona;1888,8;34292,0;28905,0;2919,0
"""17095""";Lloret de Mar;1805,4;24584,0;28905,0;1524,0
"""17114""";Olot;1375,3;28632,0;28905,0;2105,0
"""17155""";Salt;1176,5;22577,0;28905,0;2394,0
"""25120""";Lleida;1029,4;29075,0;26684,0;2753,0
"""43038""";Cambrils;1798,0;31256,0;27500,0;2209,0
"""43123""";Reus;1199,4;27713,0;27500,0;2961,0
"""43148""";Tarragona;1397,3;31650,0;27500,0;3929,0
"""43155""";Tortosa;859,4;25799,0;27500,0;127,0
"""43163""";Vendrell, El;1500,6;27098,0;27500,0;2323,0
"""43905""";Salou;1844,7;26830,0;27500,0;2279,0
"""03009""";Alcoi/Alcoy;706,9;24649,0;23348,0;22,0
"""03014""";Alicante/Alacant;1375,5;28044,0;23348,0;7316,0
"""03031""";Benidorm;2188,3;22742,0;23348,0;2287,0
"""03047""";Calp;1902,1;22168,0;23348,0;2726,0
"""03050""";Campello, el;1827,2;30292,0;23348,0;1409,0
"""03059""";Crevillent;703,8;19470,0;23348,0;881,0
"""03063""";Dénia;1817,4;24437,0;23348,0;1385,0
"""03065""";Elche/Elx;982,7;21957,0;23348,0;5530,0
"""03066""";Elda;598,5;20994,0;23348,0;-69,0
"""03082""";Jávea/Xàbia;2257,2;24759,0;23348,0;923,0
"""03093""";Novelda;675,8;23243,0;23348,0;-257,0
"""03099""";Orihuela;1381,4;21482,0;23348,0;2843,0
"""03104""";Petrer;727,6;21022,0;23348,0;-524,0
"""03121""";Santa Pola;1566,4;23780,0;23348,0;3011,0
"""03122""";San Vicente del Raspeig/Sant Vicent del Raspeig;1199,8;24100,0;23348,0;1737,0
"""03133""";Torrevieja;1336,4;20108,0;23348,0;-410,0
"""03139""";Villajoyosa/Vila Joiosa, la;1393,6;22640,0;23348,0;1077,0
"""03140""";Villena;617,4;20460,0;23348,0;57,0
"""12009""";Almassora;816,9;23817,0;25164,0;1230,0
"""12027""";Benicarló;910,1;22416,0;25164,0;1229,0
"""12032""";Borriana/Burriana;774,1;23940,0;25164,0;439,0
"""12040""";Castelló de la Plana;1039,1;28143,0;25164,0;3091,0
"""12084""";Onda;710,3;24937,0;25164,0;132,0
"""12126""";Vall d'Uixó, la;680,3;22159,0;25164,0;-184,0
"""12135""";Vila-real;785,2;25784,0;25164,0;796,0
